zone_id,x,y
1,-6,-5
2,-5,-5
3,-3,-5
4,-2,-5
5,-1,-5
6,0,-5
7,1,-5
8,2,-5
9,3,-5
10,4,-5
11,5,-5
12,6,-5
13,-6,-4
14,-5,-4
15,-3,-4
16,-2,-4
17,-1,-4
18,0,-4
19,1,-4
20,2,-4
21,3,-4
22,4,-4
23,5,-4
24,6,-4
25,-6,-2
26,-5,-2
27,-4,-2
28,-3,-2
29,-2,-2
30,-1,-2
31,0,-2
32,1,-2
33,2,-2
34,3,-2
35,4,-2
36,5,-2
37,6,-2
38,-6,-1
39,-5,-1
40,-4,-1
41,-3,-1
42,-2,-1
43,-1,-1
44,0,-1
45,1,-1
46,2,-1
47,3,-1
48,4,-1
49,5,-1
50,6,-1
51,-6,0
52,-5,0
53,-4,0
54,-3,0
55,-2,0
56,-1,0
57,0,0
58,1,0
59,2,0
60,3,0
61,4,0
62,5,0
63,6,0
64,-6,1
65,-5,1
66,-4,1
67,-3,1
68,-2,1
69,-1,1
70,0,1
71,1,1
72,2,1
73,3,1
74,4,1
75,5,1
76,6,1
77,-6,2
78,-5,2
79,-4,2
80,-3,2
81,-2,2
82,-1,2
83,0,2
84,1,2
85,2,2
86,3,2
87,4,2
88,5,2
89,6,2
90,-6,3
91,-5,3
92,-4,3
93,-3,3
94,-2,3
95,-1,3
96,0,3
97,1,3
98,2,3
99,3,3
100,4,3
101,5,3
102,6,3
103,-6,4
104,-2,4
105,-1,4
106,0,4
107,1,4
108,2,4
109,3,4
110,4,4
111,5,4
112,6,4
113,-6,5
114,-5,5
115,-4,5
116,-3,5
117,-2,5
118,-1,5
119,0,5
120,1,5
121,2,5
122,3,5
123,4,5
124,5,5
125,6,5
